"Name"
"FileAndStorage-Services"
"File-Services"
"FS-FileServer"
"Storage-Services"
"Web-Server"
"Web-WebServer"
"Web-Common-Http"
"Web-Default-Doc"
"Web-Dir-Browsing"
"Web-Http-Errors"
"Web-Static-Content"
"Web-Http-Redirect"
"Web-Health"
"Web-Http-Logging"
"Web-Request-Monitor"
"Web-Performance"
"Web-Stat-Compression"
"Web-Security"
"Web-Filtering"
"Web-Windows-Auth"
"Web-App-Dev"
"Web-Net-Ext"
"Web-Net-Ext45"
"Web-AppInit"
"Web-ASP"
"Web-Asp-Net"
"Web-Asp-Net45"
"Web-ISAPI-Ext"
"Web-ISAPI-Filter"
"Web-WebSockets"
"Web-Mgmt-Tools"
"Web-Mgmt-Console"
"Web-Mgmt-Compat"
"Web-Metabase"
"Web-Lgcy-Mgmt-Console"
"Web-Lgcy-Scripting"
"Web-WMI"
"Web-Scripting-Tools"
"Web-Mgmt-Service"
"NET-Framework-Features"
"NET-Framework-Core"
"NET-Framework-45-Features"
"NET-Framework-45-Core"
"NET-Framework-45-ASPNET"
"NET-WCF-Services45"
"NET-WCF-HTTP-Activation45"
"NET-WCF-TCP-PortSharing45"
"MSMQ"
"MSMQ-Services"
"MSMQ-Server"
"MSMQ-Multicasting"
"qWave"
"RSAT"
"RSAT-Feature-Tools"
"RSAT-SNMP"
"FS-SMB1"
"SNMP-Service"
"SNMP-WMI-Provider"
"Telnet-Client"
"Windows-Defender-Features"
"Windows-Defender"
"Windows-Defender-Gui"
"PowerShellRoot"
"PowerShell"
"PowerShell-V2"
"PowerShell-ISE"
"WAS"
"WAS-Process-Model"
"WAS-Config-APIs"
"WoW64-Support"
